date,sigma_p,return_p,risk_free_rate,intersection_sigma,intersection_return,alpha_x,alpha_y
2019-01-31,0.3078273653734378,0.1787082552922865,0.0361,0.04632734816129247,0.05756223187657611,0.1504978223917516,0.1504978223917516
2019-02-28,0.3026962564152478,0.236707299622946,0.0361,0.06627346568427565,0.08002172253804857,0.2189437902838142,0.21894379028381417
2019-03-31,0.1119200987653236,0.1076304550982374,0.0361,0.06391207288712655,0.07694753060729363,0.5710508978475682,0.5710508978475681
2019-04-30,0.151235878686994,0.1266838845904209,0.0361,0.0598957637412885,0.07197502514152142,0.3960420256178233,0.3960420256178232
2019-05-31,0.0787715911860951,0.0721785829644297,0.0361,0.04580151603031011,0.05707778870674754,0.5814471352001211,0.5814471352001211
2019-06-30,0.0864495073224858,0.1048397266056399,0.0361,0.0795143069459234,0.09932525009090523,0.9197774447610007,0.9197774447610007
2019-07-31,0.0881284935455331,0.1034424000174096,0.0361,0.0764138785404473,0.09449080833594234,0.8670734681396405,0.8670734681396407
2019-08-31,0.0761127515970943,0.1230262919356785,0.0361,0.11420726502679353,0.16653299384900255,1.5005010675655766,1.5005010675655766
2019-09-30,0.0733503027594662,0.0990077597969667,0.0361,0.0857634630401688,0.10965371592642398,1.1692312071486388,1.1692312071486388
2019-10-31,0.0738678555359854,0.0938549481179144,0.0361,0.07818684825604358,0.09723183240213584,1.0584691770015462,1.0584691770015462
2019-11-30,0.0810876810236007,0.1080746463026631,0.0361,0.08876150531634364,0.11488604826023299,1.0946361296299676,1.0946361296299678
2019-12-31,0.0781099297508377,0.0923174936676612,0.0361,0.07197227528815987,0.08790008410154669,0.921422865412166,0.9214228654121661
2020-01-31,0.0784274504324286,0.1146977795206175,0.0361,0.10021718044798149,0.1365348325694319,1.2778329512869533,1.2778329512869533
2020-02-29,0.0896246820216005,0.146245832407402,0.0361,0.12289676227900669,0.1871361417866268,1.3712379169098448,1.371237916909845
2020-03-31,0.1245668386031733,0.1533840801404202,0.0361,0.09415353352111168,0.12474887874510522,0.7558474998394408,0.7558474998394407
2020-04-30,0.1260740354687756,0.1788859364557728,0.0361,0.11325562470088159,0.16436836526386936,0.8983263229400734,0.8983263229400734
2020-05-31,0.1280355741442088,0.1861948526714999,0.0361,0.11722902300765674,0.1735264383532971,0.9155972767038913,0.9155972767038912
2020-06-30,0.1296757562042905,0.1994394793530571,0.0361,0.12595992044629603,0.19475901558837222,0.9713451776433787,0.9713451776433787
2020-07-31,0.1289259764713079,0.2192464044342505,0.0361,0.14205547202119442,0.23789757131164352,1.1018374722398045,1.1018374722398045
2020-08-31,0.1344636652823526,0.2296250688142243,0.0361,0.14392369002276714,0.2432402854976956,1.0703537622639543,1.0703537622639543
2020-09-30,0.1337740520296722,0.2183179163367763,0.0361,0.13621319947485694,0.22164035711177166,1.0182333375432457,1.0182333375432457
2020-10-31,0.1358239335334975,0.205335852743245,0.0361,0.1245994342385227,0.19135019012559942,0.9173599305883262,0.9173599305883261
2020-11-30,0.1417533848237096,0.2356013903681814,0.0361,0.14073836093317252,0.23417286238155938,0.9928395086170294,0.9928395086170294
2020-12-31,0.145498607437336,0.2472804328723485,0.0361,0.14514258011940126,0.2467636856371681,0.9975530534332565,0.9975530534332565
2021-01-31,0.1513828624815335,0.2562642467290653,0.0361,0.1454353835830804,0.24761450797957726,0.9607123369121218,0.9607123369121218
2021-02-28,0.1608781523775588,0.2447067693884741,0.0361,0.12966755666046118,0.2042367525029391,0.8059985445142939,0.805998544514294
2021-03-31,0.1765625008280226,0.2319070175179148,0.0361,0.1108995492245757,0.15908710018214087,0.6281036386803069,0.6281036386803068
2021-04-30,0.1721035568633167,0.2257758330180048,0.0361,0.1102102922652807,0.15756308521198586,0.6403719613581773,0.6403719613581773
2021-05-31,0.1606823857460107,0.1971916126547331,0.0361,0.10025468062776383,0.13661000987774832,0.623930744880995,0.623930744880995
2021-06-30,0.1629539988896439,0.2204552847280766,0.0361,0.11313332964165315,0.16409150275806952,0.6942654394033593,0.6942654394033594
2021-07-31,0.1382174905807003,0.183738298304503,0.0361,0.10681593023011976,0.150196429509258,0.7728105161029076,0.7728105161029076
2021-08-31,0.1319848799304096,0.1746707170552611,0.0361,0.10498984211549396,0.14632866947436332,0.7954687095283258,0.7954687095283258
2021-09-30,0.1408599008147436,0.1683961925795682,0.0361,0.09392040730851507,0.1243104290899675,0.6667646843798187,0.6667646843798187
2021-10-31,0.1331528299574381,0.1700673117671838,0.0361,0.10061168944738698,0.13732712053457358,0.7556105978336863,0.7556105978336863
2021-11-30,0.1185270006313238,0.1455379017846205,0.0361,0.09233162165726713,0.1213512835786072,0.7789923069466935,0.7789923069466935
2021-12-31,0.1109352645167802,0.1316726236336833,0.0361,0.0861517066281722,0.1103211655494665,0.7765944129978687,0.7765944129978686
2022-01-31,0.1068343887689124,0.1098650335899993,0.0361,0.06904615118785058,0.0837737099385552,0.6462914421422912,0.6462914421422911
2022-02-28,0.1080080833873125,0.1023719823164503,0.0361,0.06135835415095984,0.07374847624114558,0.5680903894103122,0.5680903894103124
2022-03-31,0.1113613330066274,0.0994301854108039,0.0361,0.05686909782862867,0.06844094287842138,0.5106718489553663,0.5106718489553661
2022-04-30,0.1235933142847105,0.0825848109362072,0.0361,0.03761110477960431,0.05024595202742346,0.30431342502041075,0.3043134250204108
2022-05-31,0.1360134742908449,0.0857936541363323,0.0361,0.03653583175889772,0.049448670023144146,0.268619208129124,0.26861920812912393
2022-06-30,0.152832534808817,0.0768740813990861,0.0361,0.02667892765770826,0.04321765180965231,0.17456314318860028,0.1745631431886004
2022-07-31,0.1405339827056773,0.0857145027492784,0.0361,0.03530427430722357,0.04856391784359686,0.2512152123459129,0.251215212345913
2022-08-31,0.1974342681558498,0.0986801477475625,0.0361,0.03169670003697802,0.046146807932341626,0.1605430522930164,0.16054305229301655
2022-09-30,0.2169656945356645,0.0838296733773555,0.0361,0.021998718958544723,0.04093943635817035,0.10139261419011385,0.10139261419011375
2022-10-31,0.2181696052189418,0.0989735929718385,0.0361,0.02881867660196858,0.044405161210888514,0.1320929951403996,0.1320929951403994
2022-11-30,0.2192575301891736,0.1085942576379621,0.0361,0.03306352013334028,0.04703196363607799,0.1507976492520615,0.15079764925206152
2022-12-31,0.2186837724565562,0.0948776789824246,0.0361,0.026877933521153873,0.04332423310367567,0.12290776411630384,0.12290776411630379
2023-01-31,0.2179813219067769,0.1054324939881914,0.0361,0.031806621494773056,0.046216611709117596,0.1459144353128368,0.1459144353128367
2023-02-28,0.2171688229731266,0.0989166120415632,0.0361,0.028925244048192165,0.044466697432474764,0.13319243366609534,0.13319243366609554
2023-03-31,0.2165343818960881,0.1040456843921419,0.0361,0.03137870475680304,0.04594623112214614,0.14491326726977358,0.1449132672697735
2023-04-30,0.2154376372944736,0.1054014739663826,0.0361,0.03216776550127916,0.04644765137345287,0.14931358283190904,0.1493135828319093
2023-05-31,0.2142814231781929,0.1042831043154725,0.0361,0.03181941920311613,0.04622475438423635,0.14849359655715758,0.14849359655715738
2023-06-30,0.2131015375113275,0.1142358823142412,0.0361,0.036666034054348956,0.049543980532746196,0.17205898410000894,0.17205898410000892
2023-07-31,0.2117933006395012,0.1181662520354603,0.0361,0.038748275695059856,0.05111428869340355,0.18295326423480357,0.18295326423480351
2023-08-31,0.2106464390863256,0.1132160549324386,0.0361,0.03660923738703171,0.0495023626205998,0.17379471281747505,0.17379471281747513
2023-09-30,0.2096280534146388,0.1030284885048993,0.0361,0.031927257547212255,0.04629349774486022,0.15230431722829088,0.1523043172282911
2023-10-31,0.2087497301327121,0.0978101591437407,0.0361,0.02956179110004532,0.04483899493042719,0.14161355361394473,0.14161355361394476
2023-11-30,0.2077904735178309,0.1110093147834076,0.0361,0.036050408623270934,0.049096319619048076,0.17349403951465264,0.17349403951465273
2023-12-31,0.2071440887544442,0.1170046467605931,0.0361,0.039057183454798305,0.05135463579421763,0.18855079905803176,0.18855079905803176
